"Статус","Количество"
"Active","35"
"Draft","43"
"Rejected","127"
"Superseded","25"
"Withdrawn","69"
"April Fool!","1"
"Deferred","38"
"Final","345"
"Accepted","20"
"Provisional","1"
"Total","704"
